ID	Evidences length	Evidences list	Complete evidences
Q9KSS6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KT59	1	PHOBIUS_TM	PHOBIUS_TM
Q9KT72	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTF2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTF3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTG1	1	PHOBIUS_TM	PHOBIUS_TM
Q9KTU4	1	PHOBIUS_TM	PHOBIUS_TM
Q9KU46	1	PHOBIUS_TM	PHOBIUS_TM
Q9KUD7	1	SL	SL
Q9KUH2	1	PHOBIUS_TM	PHOBIUS_TM
Q9KUJ4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUJ7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUP2	1	PHOBIUS_TM	PHOBIUS_TM
Q9KV59	1	SL	SL
Q9KVB3	1	PHOBIUS_TM	PHOBIUS_TM
Q9KVD3	1	PHOBIUS_TM	PHOBIUS_TM
Q9KVD4	1	PHOBIUS_TM	PHOBIUS_TM
Q9KVD9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KVQ4	1	PHOBIUS_TM	PHOBIUS_TM
Q9KVY4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9X4Q6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9X4Q7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
H9L4R8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
H9L4S3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
O34238	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
O52043	1	PHOBIUS_TM	PHOBIUS_TM
O52044	1	PHOBIUS_TM	PHOBIUS_TM
O87077	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0C6C9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0C6D5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0C6D8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0C6D9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P15492	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P29489	1	PHOBIUS_TM	PHOBIUS_TM
P29491	1	PHOBIUS_TM	PHOBIUS_TM
P38441	1	PHOBIUS_TM	PHOBIUS_TM
P38442	1	PHOBIUS_TM	PHOBIUS_TM
P57051	1	PHOBIUS_TM	PHOBIUS_TM
P78283	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKK2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKL5	1	PHOBIUS_TM	PHOBIUS_TM
Q9KKL9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKM3	1	PHOBIUS_TM	PHOBIUS_TM
Q9KKN1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKN3	1	PHOBIUS_TM	PHOBIUS_TM
Q9KKN5	1	SL	SL
Q9KKP0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKR2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKR4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKU0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKW7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KL07	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KL26	1	PHOBIUS_TM	PHOBIUS_TM
Q9KL75	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLA9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLB2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLC9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLE3	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q9KLE4	1	PHOBIUS_TM	PHOBIUS_TM
Q9KLG8	1	SL	SL
Q9KLH2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLI6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLI7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLL8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLM9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLN4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLN8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLP6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLQ0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLQ6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLQ9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLR2	1	PHOBIUS_TM	PHOBIUS_TM
Q9KLR7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLS6	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9KLT8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLX9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KLZ9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KM25	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KM26	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KM29	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KM32	1	PHOBIUS_TM	PHOBIUS_TM
Q9KM49	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KM55	1	PHOBIUS_TM	PHOBIUS_TM
Q9KM57	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KM59	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KMR3	1	PHOBIUS_TM	PHOBIUS_TM
Q9KMS4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KMT2	1	PHOBIUS_TM	PHOBIUS_TM
Q9KMV1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KMV7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KMW3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KMX2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KMY7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KN06	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KN24	1	SL	SL
Q9KN25	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KN29	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KN91	1	PHOBIUS_TM	PHOBIUS_TM
Q9KN93	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KN94	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNC4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNC9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KND0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KND4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNE0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNE4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNF6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNG4	1	PHOBIUS_TM	PHOBIUS_TM
Q9KNG8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNG9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNH1	1	PHOBIUS_TM	PHOBIUS_TM
Q9KNH8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNI3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNL9	1	PHOBIUS_TM	PHOBIUS_TM
Q9KNM6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNN2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNN8	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9KNP1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNQ8	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9KNS2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNS3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KNX4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KP41	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KP45	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KP54	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KP57	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KP63	1	PHOBIUS_TM	PHOBIUS_TM
Q9KP75	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KP76	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9KP85	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPA7	1	SL	SL
Q9KPC0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPC9	1	PHOBIUS_TM	PHOBIUS_TM
Q9KPD3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPE5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPG0	1	PHOBIUS_TM	PHOBIUS_TM
Q9KPG9	1	PHOBIUS_TM	PHOBIUS_TM
Q9KPI5	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9KPJ7	1	PHOBIUS_TM	PHOBIUS_TM
Q9KPJ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPL5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPN2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPQ5	1	PHOBIUS_TM	PHOBIUS_TM
Q9KPS3	1	PHOBIUS_TM	PHOBIUS_TM
Q9KPS7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPU7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KPV7	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9KPV9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQ04	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQ43	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQ69	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQ74	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQ77	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQ78	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQ79	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQ80	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQ81	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQA8	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQA9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQB0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQB7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQC3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQD1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQE4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQE5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQE6	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQE8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQI5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQP5	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9KQP7	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQR2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQS0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQS1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQS3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQT0	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQT5	1	PHOBIUS_TM	PHOBIUS_TM
Q9KQU6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQU7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQX9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KQY6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KR03	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KR08	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KR09	1	PHOBIUS_TM	PHOBIUS_TM
Q9KR16	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KR19	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KR21	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KR25	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KR26	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KR91	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRE2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRE7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRE9	1	PHOBIUS_TM	PHOBIUS_TM
Q9KRH2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRI6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRI8	1	PHOBIUS_TM	PHOBIUS_TM
Q9KRJ1	1	PHOBIUS_TM	PHOBIUS_TM
Q9KRK1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRK6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRN1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRN7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRQ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRR5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRT5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRT6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRT8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRW3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KRX2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS14	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS15	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS22	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS24	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS34	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS35	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS42	1	PHOBIUS_TM	PHOBIUS_TM
Q9KS50	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS55	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS66	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS83	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS87	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS92	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KS98	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSA1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSA6	1	PHOBIUS_TM	PHOBIUS_TM
Q9KSB0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSD9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSG1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSG7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSG9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSH4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSI1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSI2	1	PHOBIUS_TM	PHOBIUS_TM
Q9KSI3	1	PHOBIUS_TM	PHOBIUS_TM
Q9KSK1	1	PHOBIUS_TM	PHOBIUS_TM
Q9KSL2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSL9	1	SL	SL
Q9KSP1	1	PHOBIUS_TM	PHOBIUS_TM
Q9KSP5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSS1	1	PHOBIUS_TM	PHOBIUS_TM
Q9KSS5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KSW1	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9KSY9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KT01	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KT17	1	PHOBIUS_TM	PHOBIUS_TM
Q9KT20	1	PHOBIUS_TM	PHOBIUS_TM
Q9KT86	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9KT89	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KT91	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTA8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTB5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTD2	1	PHOBIUS_TM	PHOBIUS_TM
Q9KTD3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTE4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTE8	1	PHOBIUS_TM	PHOBIUS_TM
Q9KTG5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTJ2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTJ6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTP3	1	PHOBIUS_TM	PHOBIUS_TM
Q9KTU5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTU6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTW0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTY6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KTY7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KU05	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KU10	1	PHOBIUS_TM	PHOBIUS_TM
Q9KU26	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KU35	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KU52	1	SL	SL
Q9KU61	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KU73	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KU83	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUA1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUD2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUE7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUF4	1	PHOBIUS_TM	PHOBIUS_TM
Q9KUH0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUI1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUI2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUK4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUK6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUN5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUR8	1	PHOBIUS_TM	PHOBIUS_TM
Q9KUT2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUU8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KUX0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KV09	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KV36	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KV54	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KV74	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KV76	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KV91	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KVJ4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KVK7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KVP7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KVQ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KVQ7	1	PHOBIUS_TM	PHOBIUS_TM
Q9KVS0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KVS9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KVU4	1	SL	SL
Q9KVU7	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9KVW6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9X4G9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9ZHV9	1	PHOBIUS_TM	PHOBIUS_TM
H9L4N7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
H9L4N8	1	PHOBIUS_TM	PHOBIUS_TM
H9L4P0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
H9L4P1	1	PHOBIUS_TM	PHOBIUS_TM
H9L4P2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
H9L4P3	1	PHOBIUS_TM	PHOBIUS_TM
H9L4P4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
H9L4P5	1	PHOBIUS_TM	PHOBIUS_TM
H9L4Q0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
H9L4Q5	1	PHOBIUS_TM	PHOBIUS_TM
H9L4Q8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
H9L4R0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
H9L4R4	1	SL	SL
H9L4S4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P38443	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9K2K9	1	PHOBIUS_TM	PHOBIUS_TM
Q9K2L1	1	PHOBIUS_TM	PHOBIUS_TM
Q9K323	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q9KKK4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKK5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKM1	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q9KKN6	1	SL	SL
Q9KKP6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKQ0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKQ1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKQ9	1	PHOBIUS_TM	PHOBIUS_TM
Q9KKR7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKS4	1	PHOBIUS_TM	PHOBIUS_TM
Q9KKT1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKT7	1	PHOBIUS_TM	PHOBIUS_TM
Q9KKT8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKU7	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q9KKU8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKV0	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q9KKV3	1	PHOBIUS_TM	PHOBIUS_TM
Q9KKV4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKW1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q9KKW2	1	PHOBIUS_TM	PHOBIUS_TM
Q9KKX0	1	PHOBIUS_TM	PHOBIUS_TM
