SEQENCE ID                     TM SP PREDICTION
Q9KSN6                          0  0 o
Q9KSN7                          0  0 o
Q9KSQ1                          0  0 o
Q9KSQ2                          0  0 o
Q9KSQ3                          0  0 o
Q9KSQ6                          1  Y n7-18c23/24o375-398i
Q9KSR8                          0  0 o
Q9KSS4                          0  Y n9-17c25/26o
Q9KSS6                          5  Y n16-27c31/32o41-62i138-159o165-183i246-267o279-304i
Q9KSS7                          0  0 o
Q9KST3                          0  0 o
Q9KST4                          0  0 o
Q9KST5                          0  0 o
Q9KST9                          0  0 o
Q9KSU0                          0  0 o
Q9KSU7                          0  0 o
Q9KSW7                          0  0 o
Q9KSW8                          0  0 o
Q9KSX0                          0  0 o
Q9KSX1                          0  0 o
Q9KSX4                          0  0 o
Q9KSX6                          0  0 o
Q9KSX7                          0  0 o
Q9KSX8                          0  0 o
Q9KSY0                          0  0 o
Q9KSZ1                          0  0 o
Q9KSZ3                          0  0 o
Q9KSZ4                          0  0 o
Q9KSZ5                          0  0 o
Q9KSZ6                          0  0 o
Q9KT00                          0  0 o
Q9KT07                          0  Y n4-15c22/23o
Q9KT08                          0  Y n7-18c26/27o
Q9KT44                          0  0 o
Q9KT52                          0  0 o
Q9KT59                          1  0 i415-432o
Q9KT65                          0  0 o
Q9KT67                          0  0 o
Q9KT69                          0  Y n8-14c19/20o
Q9KT72                          7  0 o159-176i183-201o221-242i381-402o408-432i717-735o741-760i
Q9KT77                          0  0 o
Q9KT79                          0  0 o
Q9KT81                          0  0 o
Q9KT84                          0  0 o
Q9KT87                          0  Y n3-14c19/20o
Q9KT88                          0  0 o
Q9KT90                          0  Y n10-25c30/31o
Q9KT93                          0  0 o
Q9KT97                          0  0 o
Q9KT99                          0  0 o
Q9KTA2                          0  0 o
Q9KTA3                          0  0 o
Q9KTA4                          0  0 o
Q9KTB6                          0  Y n7-16c24/25o
Q9KTB7                          0  Y n3-12c17/18o
Q9KTD1                          0  0 o
Q9KTD7                          0  0 o
Q9KTE0                          0  0 o
Q9KTF1                          0  0 o
Q9KTF2                          1  0 i21-41o
Q9KTF3                          9  0 o23-41i53-70o76-96i139-157o163-180i187-205o275-296i308-335o341-362i
Q9KTF8                          0  0 o
Q9KTF9                          0  0 o
Q9KTG1                          1  0 i193-213o
Q9KTJ5                          0  0 o
Q9KTK3                          0  0 o
Q9KTK4                          0  0 o
Q9KTL3                          0  0 o
Q9KTL4                          0  0 o
Q9KTN2                          0  0 o
Q9KTN5                          0  Y n12-23c27/28o
Q9KTP8                          0  0 o
Q9KTU4                          1  0 o6-31i
Q9KTV7                          0  0 o
Q9KTW2                          0  0 o
Q9KTW3                          0  0 o
Q9KTX1                          0  0 o
Q9KTX5                          0  0 o
Q9KTY2                          0  0 o
Q9KTY4                          0  0 o
Q9KTY5                          0  0 o
Q9KTY9                          0  0 i
Q9KU04                          0  0 o
Q9KU07                          0  0 o
Q9KU18                          0  0 o
Q9KU20                          0  0 o
Q9KU24                          0  0 o
Q9KU25                          0  0 o
Q9KU27                          0  0 i
Q9KU28                          0  0 o
Q9KU31                          0  0 o
Q9KU38                          0  0 o
Q9KU39                          0  0 o
Q9KU44                          0  0 o
Q9KU46                          5  0 o15-33i45-66o72-92i104-122o142-161i
Q9KU47                          0  0 o
Q9KU48                          0  0 o
Q9KU60                          0  0 o
Q9KU63                          0  0 o
Q9KU71                          0  0 o
Q9KU72                          0  0 o
Q9KU76                          0  0 o
Q9KU78                          0  0 i
Q9KU84                          0  0 o
Q9KU87                          0  0 o
Q9KU92                          0  0 o
Q9KU97                          0  0 o
Q9KUA0                          0  0 o
Q9KUA9                          0  0 o
Q9KUB8                          0  0 o
Q9KUC8                          0  0 o
Q9KUD0                          0  0 o
Q9KUD1                          0  0 o
Q9KUD7                          0  0 o
Q9KUE2                          0  0 o
Q9KUE8                          0  Y n14-25c30/31o
Q9KUG1                          0  0 o
Q9KUG4                          0  0 o
Q9KUH2                          1  0 o12-33i
Q9KUI0                          0  0 o
Q9KUI9                          0  0 o
Q9KUJ0                          0  0 o
Q9KUJ1                          0  0 o
Q9KUJ4                          8  0 i7-29o41-59i85-103o109-131i151-177o183-205i217-238o250-266i
Q9KUJ7                          3  Y n4-15c20/21o81-99i111-133o139-158i
Q9KUK1                          0  0 o
Q9KUM8                          0  0 o
Q9KUP2                          1  0 o417-438i
Q9KUP3                          0  0 o
Q9KUP7                          0  0 o
Q9KUQ0                          0  0 o
Q9KUQ9                          0  0 o
Q9KUR2                          0  0 o
Q9KUS0                          0  Y n7-18c22/23o
Q9KUS1                          0  0 o
Q9KUS2                          0  0 o
Q9KUT3                          0  Y n3-12c17/18o
Q9KUU7                          0  0 o
Q9KUW2                          0  0 o
Q9KUW5                          0  0 o
Q9KUW9                          0  0 o
Q9KUX2                          0  0 o
Q9KUX3                          0  0 o
Q9KUX4                          0  0 o
Q9KUY4                          0  0 o
Q9KUY7                          0  0 o
Q9KUZ3                          0  0 o
Q9KUZ6                          0  0 o
Q9KV11                          0  0 o
Q9KV12                          0  Y n5-13c18/19o
Q9KV16                          0  0 o
Q9KV18                          0  0 o
Q9KV19                          0  0 o
Q9KV22                          0  0 o
Q9KV26                          0  0 o
Q9KV29                          0  0 o
Q9KV30                          0  0 o
Q9KV37                          0  0 o
Q9KV39                          0  0 o
Q9KV40                          0  0 o
Q9KV48                          0  0 o
Q9KV50                          0  0 o
Q9KV52                          0  0 o
Q9KV59                          0  0 o
Q9KV60                          0  0 o
Q9KV66                          0  0 o
Q9KV80                          0  0 o
Q9KV81                          0  0 o
Q9KVB3                          1  0 i14-36o
Q9KVB9                          0  0 o
Q9KVC4                          0  0 i
Q9KVD2                          0  0 i
Q9KVD3                          1  0 o24-48i
Q9KVD4                          1  0 o27-44i
Q9KVD5                          0  0 o
Q9KVD6                          0  0 o
Q9KVD9                         10  0 i120-145o165-184i191-210o230-249i261-285o305-330i342-362o374-394i401-427o447-473i
Q9KVF0                          0  0 o
Q9KVF2                          0  Y n12-20c25/26o
Q9KVF6                          0  0 o
Q9KVF9                          0  0 o
Q9KVG0                          0  0 o
Q9KVH9                          0  0 o
Q9KVI4                          0  0 o
Q9KVJ0                          0  0 o
Q9KVJ6                          0  0 o
Q9KVK6                          0  0 o
Q9KVL2                          0  0 o
Q9KVL4                          0  0 o
Q9KVL6                          0  0 o
Q9KVL7                          0  0 o
Q9KVM1                          0  0 o
Q9KVM5                          0  0 o
Q9KVQ4                          2  0 i500-517o523-542i
Q9KVQ6                          0  0 o
Q9KVS3                          0  0 o
Q9KVS4                          0  0 o
Q9KVS7                          0  0 o
Q9KVS8                          0  0 o
Q9KVT3                          0  0 o
Q9KVT4                          0  0 o
Q9KVT5                          0  0 o
Q9KVT8                          0  Y n3-11c19/20o
Q9KVU5                          0  Y n2-9c13/14o
Q9KVV4                          0  0 o
Q9KVV9                          0  0 o
Q9KVW0                          0  0 o
Q9KVX3                          0  0 o
Q9KVX5                          0  0 o
Q9KVX6                          0  0 o
Q9KVY4                          5  Y n8-19c27/28o340-363i415-438o462-480i492-507o513-533i
Q9KVY5                          0  0 o
Q9X4Q6                          5  0 o41-61i73-95o101-118i130-151o180-198i
Q9X4Q7                          6  0 o12-31i38-55o75-94i106-128o140-160i172-193o
Q9X4W3                          0  0 o
H9L4N9                          0  0 o
H9L4P6                          0  0 o
H9L4Q6                          0  0 o
H9L4Q7                          0  0 o
H9L4Q9                          0  0 o
H9L4R7                          0  0 o
H9L4R8                          1  0 i53-74o
H9L4S3                          6  0 o6-30i112-145o157-174i181-199o219-245i257-275o
H9L4S9                          0  0 i
H9L4T0                          0  0 o
O07350                          0  Y n4-14c18/19o
O07898                          0  0 o
O07899                          0  0 o
O30862                          0  0 o
O31020                          0  0 o
O34238                         14  0 i9-27o33-51i98-123o143-164i171-192o204-225i246-268o288-306i327-352o364-385i397-418o424-443i455-475o495-515i
O34239                          0  Y n35-42c52/53o
O34419                          0  0 i
O52043                          3  0 o12-30i115-136o160-185i
O52044                          1  0 o20-39i
O68844                          0  0 o
O68845                          0  0 i
O87077                          7  0 o23-40i60-80o100-117i124-144o178-195i202-220o232-257i
P06111                          0  Y n4-14c19/20o
P08038                          0  Y n6-16c20/21o
P0A479                          0  0 o
P0A497                          0  0 i
P0C6C4                          0  0 o
P0C6C5                          0  0 o
P0C6C8                          0  0 o
P0C6C9                          3  0 i112-131o164-182i312-333o
P0C6D0                          0  0 o
P0C6D1                          0  0 o
P0C6D5                          1  0 i132-150o
P0C6D8                          1  Y n5-16c21/22o264-286i
P0C6D9                          7  0 o6-27i82-100o106-123i130-147o159-180i192-223o229-250i
P0C6F0                          0  Y n5-16c21/22o
P0C6Q0                          0  0 o
P0C6Q4                          0  0 o
P0C6Q5                          0  Y n6-16c20/21o
P0C6Q6                          0  Y n5-16c21/22o
P0C6Q7                          0  Y n11-22c26/27o
P0C6Q9                          0  Y n6-17c22/23o
P0C6R0                          0  Y n9-20c25/26o
P15492                          1  Y n12-31c39/40o199-220i
P17266                          0  Y n4-14c21/22o
P23476                          0  Y n8-19c27/28o
P24003                          0  Y n6-17c21/22o
P29480                          0  0 o
P29481                          0  Y n4-11c16/17o
P29484                          0  Y n5-16c21/22o
P29489                          1  0 i7-28o
P29490                          0  Y n7-15c21/22o
P29491                          1  0 i30-50o
P38441                          2  0 i7-27o68-91i
P38442                          1  0 i227-245o
P45784                          0  Y n4-15c29/30o
P50511                          0  0 o
P52022                          0  0 o
P52116                          0  0 i
P52692                          0  0 o
P52695                          0  0 o
P57051                          1  0 o6-22i
P57063                          0  Y n9-20c38/39o
P57069                          0  Y n4-12c16/17o
P57070                          0  Y n8-18c23/24o
P58093                          0  0 o
P64127                          0  0 o
P65128                          0  0 o
P66367                          0  0 i
P66532                          0  0 o
P78283                         10  0 i21-41o75-98i119-139o151-172i184-201o213-233i272-293o317-338i374-394o400-419i
Q06952                          0  0 o
Q07024                          0  0 o
Q56647                          0  0 o
Q9KKJ4                          0  Y n7-15c21/22o
Q9KKK2                          5  0 i12-29o49-67i79-100o120-142i154-177o
Q9KKK9                          0  0 o
Q9KKL3                          0  0 o
Q9KKL4                          0  0 o
Q9KKL5                          1  0 i12-45o
Q9KKL9                          6  0 i157-179o191-208i263-287o293-310i380-400o406-429i
Q9KKM3                          1  0 i52-70o
Q9KKN1                         13  0 o6-26i47-69o75-92i123-142o162-184i191-214o234-253i274-300o312-337i370-390o402-421i428-444o456-475i
Q9KKN3                          1  Y n20-31c36/37o285-308i
Q9KKN5                          0  0 o
Q9KKN7                          0  0 i
Q9KKN9                          0  0 o
Q9KKP0                         12  0 i9-29o41-59i89-110o116-139i151-171o183-203i224-248o268-291i320-340o352-373i385-403o409-428i
Q9KKP3                          0  0 i
Q9KKQ6                          0  0 o
Q9KKR2                          4  0 i12-34o75-93i114-133o266-285i
Q9KKR4                          3  Y n10-28c34/35o65-89i118-143o233-255i
Q9KKR8                          0  Y n6-14c19/20o
Q9KKT2                          0  0 o
Q9KKT3                          0  0 o
Q9KKU0                         10  0 i12-31o37-58i79-97o103-121i128-147o153-172i184-201o213-235i247-264o270-286i
Q9KKW3                          0  0 o
Q9KKW4                          0  0 o
Q9KKW7                         15  0 i21-42o48-65i72-97o122-141i148-169o219-241i253-275o281-300i337-356o387-410i422-441o461-485i497-519o525-543i555-573o
Q9KKX5                          0  0 o
Q9KKY1                          0  0 o
Q9KKZ7                          0  0 o
Q9KKZ8                          0  0 o
Q9KL05                          0  Y n17-28c36/37o
Q9KL07                          6  0 i20-39o91-110i122-143o163-181i202-227o258-281i
Q9KL11                          0  0 o
Q9KL13                          0  0 o
Q9KL16                          0  0 i
Q9KL20                          0  0 o
Q9KL26                          3  0 i12-29o35-56i302-324o
Q9KL50                          0  0 o
Q9KL51                          0  0 o
Q9KL54                          0  0 o
Q9KL72                          0  0 o
Q9KL75                          9  0 o20-46i58-76o96-120i132-155o188-212i224-242o392-413i425-448o475-498i
Q9KL76                          0  0 o
Q9KL84                          0  Y n6-16c21/22o
Q9KL86                          0  Y n5-16c20/21o
Q9KL91                          0  0 o
Q9KL96                          0  0 o
Q9KL98                          0  0 o
Q9KLA3                          0  0 o
Q9KLA9                          4  0 o6-30i58-78o98-122i134-156o
Q9KLB2                          6  0 i31-57o63-83i95-115o135-152i173-193o199-218i
Q9KLB8                          0  0 o
Q9KLB9                          0  0 o
Q9KLC1                          0  0 o
Q9KLC3                          0  0 o
Q9KLC4                          0  0 o
Q9KLC7                          0  0 o
Q9KLC9                          3  0 o20-39i60-80o92-118i
Q9KLD1                          0  0 o
Q9KLD2                          0  0 o
Q9KLD5                          0  Y n8-18c23/24o
Q9KLD9                          0  Y n5-16c25/26o
Q9KLE1                          0  0 o
Q9KLE3                          1  Y n4-12c17/18o305-323i
Q9KLE4                          5  0 o14-38i59-78o90-115i147-165o177-195i
Q9KLF4                          0  0 o
Q9KLG4                          0  0 o
Q9KLG8                          0  0 o
Q9KLH0                          0  0 o
Q9KLH2                         12  0 o6-28i40-62o82-102i123-143o149-170i182-208o214-233i245-265o271-294i306-327o333-354i374-399o
Q9KLI4                          0  0 o
