# SignalP-5.0	Organism: euk	
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
Q9KPT9	OTHER	0.002554	0.997446	
Q9KPU1	OTHER	0.001545	0.998455	
Q9KPU3	OTHER	0.000542	0.999458	
Q9KPU4	OTHER	0.000901	0.999099	
Q9KPU6	OTHER	0.001605	0.998395	
Q9KPV0	OTHER	0.000422	0.999578	
Q9KPV1	OTHER	0.001789	0.998211	
Q9KPV4	OTHER	0.002334	0.997666	
Q9KPV6	OTHER	0.000943	0.999057	
Q9KPV8	OTHER	0.186086	0.813914	
Q9KPW8	OTHER	0.000284	0.999716	
Q9KPX8	OTHER	0.001238	0.998762	
Q9KPX9	OTHER	0.000416	0.999584	
Q9KPY1	OTHER	0.043751	0.956249	
Q9KPY2	OTHER	0.001379	0.998621	
Q9KPY5	OTHER	0.018905	0.981095	
Q9KPY6	OTHER	0.001403	0.998597	
Q9KPY7	OTHER	0.000689	0.999311	
Q9KQ13	SP(Sec/SPI)	0.993246	0.006754	CS pos: 25-26. IES-AE. Pr: 0.6394
Q9KQ15	OTHER	0.000691	0.999309	
Q9KQ21	OTHER	0.002034	0.997966	
Q9KQ22	OTHER	0.001468	0.998532	
Q9KQ23	OTHER	0.004280	0.995720	
Q9KQ24	OTHER	0.001902	0.998098	
Q9KQ26	OTHER	0.001138	0.998862	
Q9KQ29	OTHER	0.000734	0.999266	
Q9KQ30	SP(Sec/SPI)	0.960752	0.039248	CS pos: 24-25. CAT-AP. Pr: 0.2418
Q9KQ40	SP(Sec/SPI)	0.993609	0.006391	CS pos: 23-24. AIA-QN. Pr: 0.8428
Q9KQ47	OTHER	0.005757	0.994243	
Q9KQ52	OTHER	0.001333	0.998667	
Q9KQ63	OTHER	0.000941	0.999059	
Q9KQ71	OTHER	0.003730	0.996270	
Q9KQ85	OTHER	0.001597	0.998403	
Q9KQ91	OTHER	0.016474	0.983526	
Q9KQ92	OTHER	0.001566	0.998434	
Q9KQB1	OTHER	0.003785	0.996215	
Q9KQB5	OTHER	0.003052	0.996948	
Q9KQB6	OTHER	0.002180	0.997820	
Q9KQB8	OTHER	0.000684	0.999316	
Q9KQD4	OTHER	0.000396	0.999604	
Q9KQD5	OTHER	0.000198	0.999802	
Q9KQD8	OTHER	0.000415	0.999585	
Q9KQE3	OTHER	0.000680	0.999320	
Q9KQE7	OTHER	0.154094	0.845906	
Q9KQE9	SP(Sec/SPI)	0.983922	0.016078	CS pos: 21-22. VFA-TQ. Pr: 0.9122
Q9KQF5	OTHER	0.003741	0.996259	
Q9KQG8	OTHER	0.000976	0.999024	
Q9KQH0	OTHER	0.000206	0.999794	
Q9KQH4	OTHER	0.003310	0.996690	
Q9KQH5	OTHER	0.001895	0.998105	
Q9KQH7	OTHER	0.002560	0.997440	
Q9KQH8	OTHER	0.000297	0.999703	
Q9KQH9	OTHER	0.036614	0.963386	
Q9KQI0	OTHER	0.002296	0.997704	
Q9KQI2	OTHER	0.000596	0.999404	
Q9KQM0	OTHER	0.000726	0.999274	
Q9KQM2	OTHER	0.029238	0.970762	
Q9KQM3	OTHER	0.003062	0.996938	
Q9KQM5	OTHER	0.007750	0.992250	
Q9KQM6	OTHER	0.000810	0.999190	
Q9KQQ6	OTHER	0.000817	0.999183	
Q9KQR9	SP(Sec/SPI)	0.991031	0.008969	CS pos: 22-23. AAA-NC. Pr: 0.5608
Q9KQS5	OTHER	0.000816	0.999184	
Q9KQS6	OTHER	0.002594	0.997406	
Q9KQS8	OTHER	0.000510	0.999490	
Q9KQT2	OTHER	0.000682	0.999318	
Q9KQT7	OTHER	0.000641	0.999359	
Q9KQU8	OTHER	0.001096	0.998904	
Q9KQW2	OTHER	0.021868	0.978132	
Q9KQX0	OTHER	0.148253	0.851747	
Q9KQX2	OTHER	0.001798	0.998202	
Q9KQY1	OTHER	0.013577	0.986423	
Q9KQY7	OTHER	0.001427	0.998573	
Q9KQZ2	OTHER	0.001132	0.998868	
Q9KQZ7	OTHER	0.000771	0.999229	
Q9KQZ9	OTHER	0.001248	0.998752	
Q9KR00	OTHER	0.000885	0.999115	
Q9KR01	OTHER	0.002095	0.997905	
Q9KR02	OTHER	0.000448	0.999552	
Q9KR20	OTHER	0.001846	0.998154	
Q9KR61	OTHER	0.004851	0.995149	
Q9KR64	SP(Sec/SPI)	0.972932	0.027068	CS pos: 22-23. VNA-AT. Pr: 0.8624
Q9KR65	OTHER	0.000641	0.999359	
Q9KR66	OTHER	0.026679	0.973321	
Q9KR69	SP(Sec/SPI)	0.995787	0.004213	CS pos: 24-25. VYA-DN. Pr: 0.8982
Q9KRA7	OTHER	0.001320	0.998680	
Q9KRB0	OTHER	0.001222	0.998778	
Q9KRC1	OTHER	0.001760	0.998240	
Q9KRC8	OTHER	0.002833	0.997167	
Q9KRD8	OTHER	0.000847	0.999153	
Q9KRF0	OTHER	0.267758	0.732242	
Q9KRJ0	SP(Sec/SPI)	0.841227	0.158773	CS pos: 29-30. SQA-AC. Pr: 0.4603
Q9KRK5	OTHER	0.001630	0.998370	
Q9KRL3	OTHER	0.006198	0.993802	
Q9KRM5	OTHER	0.000305	0.999695	
Q9KRP1	OTHER	0.003147	0.996853	
Q9KRR3	OTHER	0.000695	0.999305	
Q9KRS6	OTHER	0.000473	0.999527	
Q9KRT4	OTHER	0.000344	0.999656	
Q9KRU4	OTHER	0.019991	0.980009	
Q9KRV2	OTHER	0.002175	0.997825	
Q9KRV8	OTHER	0.003536	0.996464	
Q9KRX4	OTHER	0.051860	0.948140	
Q9KRY1	OTHER	0.004161	0.995839	
Q9KRZ2	OTHER	0.002520	0.997480	
Q9KRZ5	OTHER	0.000947	0.999053	
Q9KRZ7	OTHER	0.001822	0.998178	
Q9KS00	OTHER	0.000662	0.999338	
Q9KS19	OTHER	0.001154	0.998846	
Q9KS29	OTHER	0.000731	0.999269	
Q9KS33	OTHER	0.000940	0.999060	
Q9KS43	OTHER	0.000976	0.999024	
Q9KS59	OTHER	0.001298	0.998702	
Q9KS67	OTHER	0.002714	0.997286	
Q9KS71	OTHER	0.000560	0.999440	
Q9KS93	OTHER	0.002962	0.997038	
Q9KS94	OTHER	0.300008	0.699992	
Q9KSA5	OTHER	0.000875	0.999125	
Q9KSB1	OTHER	0.000182	0.999818	
Q9KSD1	OTHER	0.001729	0.998271	
Q9KSJ3	OTHER	0.000592	0.999408	
Q9KSJ8	OTHER	0.000432	0.999568	
Q9KSJ9	OTHER	0.000733	0.999267	
Q9KSL1	OTHER	0.011241	0.988759	
Q9KSL4	OTHER	0.000981	0.999019	
Q9KSL7	OTHER	0.002319	0.997681	
Q9KSL8	OTHER	0.027238	0.972762	
Q9KSM5	OTHER	0.002361	0.997639	
Q9KSM8	OTHER	0.002141	0.997859	
Q9KSN6	OTHER	0.000957	0.999043	
Q9KSN7	OTHER	0.001638	0.998362	
Q9KSQ1	OTHER	0.010930	0.989070	
Q9KSQ2	OTHER	0.002448	0.997552	
Q9KSQ3	OTHER	0.001901	0.998099	
Q9KSQ6	SP(Sec/SPI)	0.965726	0.034274	CS pos: 23-24. LYA-ES. Pr: 0.5172
Q9KSR8	OTHER	0.011247	0.988753	
Q9KSS4	OTHER	0.013574	0.986426	
Q9KSS6	OTHER	0.007480	0.992520	
Q9KSS7	OTHER	0.000834	0.999166	
Q9KST3	OTHER	0.000449	0.999551	
Q9KST4	OTHER	0.001001	0.998999	
Q9KST5	OTHER	0.000413	0.999587	
Q9KST9	OTHER	0.000751	0.999249	
Q9KSU0	OTHER	0.001326	0.998674	
Q9KSU7	OTHER	0.001192	0.998808	
Q9KSW7	OTHER	0.001429	0.998571	
Q9KSW8	OTHER	0.000992	0.999008	
Q9KSX0	OTHER	0.000506	0.999494	
Q9KSX1	OTHER	0.000497	0.999503	
Q9KSX4	OTHER	0.000531	0.999469	
Q9KSX6	OTHER	0.000592	0.999408	
Q9KSX7	OTHER	0.000397	0.999603	
Q9KSX8	OTHER	0.001047	0.998953	
Q9KSY0	OTHER	0.000726	0.999274	
Q9KSZ1	OTHER	0.006386	0.993614	
Q9KSZ3	OTHER	0.000897	0.999103	
Q9KSZ4	OTHER	0.000890	0.999110	
Q9KSZ5	OTHER	0.008093	0.991907	
Q9KSZ6	OTHER	0.000789	0.999211	
Q9KT00	OTHER	0.001552	0.998448	
Q9KT07	OTHER	0.022217	0.977783	
Q9KT08	OTHER	0.142816	0.857184	
Q9KT44	OTHER	0.001702	0.998298	
Q9KT52	OTHER	0.000640	0.999360	
Q9KT59	OTHER	0.001365	0.998635	
Q9KT65	OTHER	0.000833	0.999167	
Q9KT67	OTHER	0.017284	0.982716	
Q9KT69	OTHER	0.044259	0.955741	
Q9KT72	OTHER	0.001983	0.998017	
Q9KT77	OTHER	0.000745	0.999255	
Q9KT79	OTHER	0.001072	0.998928	
Q9KT81	OTHER	0.003038	0.996962	
Q9KT84	OTHER	0.000993	0.999007	
Q9KT87	SP(Sec/SPI)	0.607125	0.392875	CS pos: 19-20. VFG-AI. Pr: 0.1792
Q9KT88	OTHER	0.001084	0.998916	
Q9KT90	OTHER	0.413218	0.586782	
Q9KT93	OTHER	0.001090	0.998910	
Q9KT97	OTHER	0.000832	0.999168	
Q9KT99	OTHER	0.001934	0.998066	
Q9KTA2	OTHER	0.047481	0.952519	
Q9KTA3	OTHER	0.000859	0.999141	
Q9KTA4	OTHER	0.001909	0.998091	
Q9KTB6	OTHER	0.032280	0.967720	
Q9KTB7	OTHER	0.026777	0.973223	
Q9KTD1	OTHER	0.000610	0.999390	
Q9KTD7	OTHER	0.003127	0.996873	
Q9KTE0	OTHER	0.000758	0.999242	
Q9KTF1	OTHER	0.001382	0.998618	
Q9KTF2	OTHER	0.003279	0.996721	
Q9KTF3	OTHER	0.000979	0.999021	
Q9KTF8	OTHER	0.000604	0.999396	
Q9KTF9	OTHER	0.000264	0.999736	
Q9KTG1	OTHER	0.001067	0.998933	
Q9KTJ5	OTHER	0.000751	0.999249	
Q9KTK3	OTHER	0.000704	0.999296	
Q9KTK4	OTHER	0.041526	0.958474	
Q9KTL3	OTHER	0.001593	0.998407	
Q9KTL4	OTHER	0.000920	0.999080	
Q9KTN2	OTHER	0.001252	0.998748	
Q9KTN5	SP(Sec/SPI)	0.967288	0.032712	CS pos: 25-26. VGC-QI. Pr: 0.4677
Q9KTP8	OTHER	0.001751	0.998249	
Q9KTU4	OTHER	0.007737	0.992263	
Q9KTV7	OTHER	0.015724	0.984276	
Q9KTW2	OTHER	0.000652	0.999348	
Q9KTW3	OTHER	0.002499	0.997501	
Q9KTX1	OTHER	0.001321	0.998679	
Q9KTX5	OTHER	0.002221	0.997779	
Q9KTY2	OTHER	0.003396	0.996604	
Q9KTY4	OTHER	0.005809	0.994191	
Q9KTY5	OTHER	0.003103	0.996897	
Q9KTY9	OTHER	0.001273	0.998727	
Q9KU04	OTHER	0.001798	0.998202	
Q9KU07	OTHER	0.000295	0.999705	
Q9KU18	OTHER	0.000754	0.999246	
Q9KU20	OTHER	0.000469	0.999531	
Q9KU24	OTHER	0.000252	0.999748	
Q9KU25	OTHER	0.337307	0.662693	
Q9KU27	OTHER	0.000371	0.999629	
Q9KU28	OTHER	0.000962	0.999038	
Q9KU31	OTHER	0.000299	0.999701	
Q9KU38	OTHER	0.000886	0.999114	
Q9KU39	OTHER	0.007868	0.992132	
Q9KU44	OTHER	0.001876	0.998124	
Q9KU46	OTHER	0.143757	0.856243	
Q9KU47	OTHER	0.000958	0.999042	
Q9KU48	OTHER	0.000782	0.999218	
Q9KU60	OTHER	0.000313	0.999687	
Q9KU63	OTHER	0.001149	0.998851	
Q9KU71	OTHER	0.003698	0.996302	
Q9KU72	OTHER	0.034170	0.965830	
Q9KU76	OTHER	0.001564	0.998436	
Q9KU78	OTHER	0.002390	0.997610	
Q9KU84	OTHER	0.001279	0.998721	
Q9KU87	OTHER	0.000827	0.999173	
Q9KU92	OTHER	0.000578	0.999422	
Q9KU97	OTHER	0.001919	0.998081	
Q9KUA0	OTHER	0.001142	0.998858	
Q9KUA9	OTHER	0.001594	0.998406	
Q9KUB8	OTHER	0.001390	0.998610	
Q9KUC8	OTHER	0.000872	0.999128	
